我的收藏,#genre#
央視,#genre#
CCTV-1 综合,http://124.223.92.77/代理文件/AAAAA地方列表/aishang.php?id=cctv1hd
CCTV-1 综合,http://39.134.18.82:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?$移动超清1080P
CCTV-2 财经,http://124.223.92.77/代理文件/AAAAA地方列表/aishang.php?id=cctv2hd
CCTV-2 财经,http://111.20.41.249:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8?$移动超清1080P
CCTV-3 综艺,http://124.223.92.77/代理文件/AAAAA地方列表/aishang.php?id=cctv3hd
CCTV-3 综艺,http://111.20.41.249:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8?$移动超清1080P
CCTV-3 综艺,http://111.40.196.29/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3 综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-4 国际,http://124.223.92.77/代理文件/AAAAA地方列表/aishang.php?id=cctv4hd
CCTV-4 国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
CCTV-4 国际,http://111.20.41.248:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8?$移动超清1080P
CCTV-5 体育,http://124.223.92.77/代理文件/AAAAA地方列表/aishang.php?id=cctv5hd
CCTV-5 体育,http://117.148.179.162/PLTV/88888888/224/3221233115/index.m3u8?$咪咕移动1080P
CCTV-5 体育,http://111.20.41.242:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8?$移动超清1080P
CCTV-5 体育,http://39.135.55.7:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1?$移动超清1080P
CCTV-5 体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8?$移动超清1080P
CCTV-5 体育,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8
CCTV-5 体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV-5 赛事,http://124.223.92.77/代理文件/AAAAA地方列表/aishang.php?id=cctv5p
CCTV-5 赛事,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8?$咪咕移动1080P
CCTV-5 赛事,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8?$移动超清1080P
CCTV-5 赛事,http://39.134.18.82:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?$移动超清1080P
CCTV-5 赛事,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV-5 赛事,http://111.40.196.25/PLTV/88888888/224/3221225767/index.m3u8
CCTV-6 电影,http://124.223.92.77/代理文件/AAAAA地方列表/aishang.php?id=cctv6hd
CCTV-6 电影,http://111.20.41.252:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8?$移动超清1080P
CCTV-6 电影,http://111.20.33.93:80/PLTV/88888893/224/3221226011/index.m3u8?$移动高清1080P
CCTV-7 军事,http://124.223.92.77/代理文件/AAAAA地方列表/aishang.php?id=cctv7hd
CCTV-7 军事,http://111.20.41.242:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8?$移动超清1080P
CCTV-8 电视,http://124.223.92.77/代理文件/AAAAA地方列表/aishang.php?id=cctv8hd
CCTV-8 电视,http://111.40.196.31/PLTV/88888888/224/3221225592/index.m3u8
